model,component,head_index,sample_size,family,ks_distance,log_likelihood,fit_gap,best_fit
distilgpt2,full,58,64,lognormal,0.20478069580616476,-119.66080015541826,10.057537059302874,False
distilgpt2,full,59,64,generalized_gamma,0.061607816174477525,-140.65814149497214,0.0,True
distilgpt2,full,59,64,lognormal,0.09209959269459189,-143.98157327029548,3.3234317753233427,False
distilgpt2,full,60,64,generalized_gamma,0.06926775666092477,-76.7741998565584,0.0,True
distilgpt2,full,60,64,lognormal,0.14972156976049422,-95.9236127271878,19.149412870629405,False
distilgpt2,full,61,64,generalized_gamma,0.10454295714403455,-89.54473833384145,0.0,True
distilgpt2,full,61,64,lognormal,0.12432596646982652,-89.96292160096456,0.41818326712311205,False
distilgpt2,full,62,64,generalized_gamma,0.07945744805544613,-84.00714005689818,0.0,True
distilgpt2,full,62,64,lognormal,0.09960975703826519,-86.66287960039496,2.6557395434967788,False
distilgpt2,full,63,64,generalized_gamma,0.1212591017489073,-118.93602738904582,0.0,True
distilgpt2,full,63,64,lognormal,0.10014193805720795,-129.3509326519496,10.414905262903773,False
distilgpt2,full,64,64,generalized_gamma,0.08458447846737938,-88.5533256839249,0.0,True
distilgpt2,full,64,64,lognormal,0.15384717661044206,-97.12671330579765,8.573387621872754,False
distilgpt2,full,65,64,generalized_gamma,0.07687316370618724,-95.91012935980936,0.0,True
distilgpt2,full,65,64,lognormal,0.12248827329825074,-98.3238983179593,2.4137689581499444,False
distilgpt2,full,66,64,generalized_gamma,0.08181972298779222,-86.53706342419149,0.0,True
distilgpt2,full,66,64,lognormal,0.12653011864498398,-88.56840657108297,2.031343146891487,False
distilgpt2,full,67,64,generalized_gamma,0.0694073176963449,-97.54099201141757,0.0,True
distilgpt2,full,67,64,lognormal,0.11751493565406523,-102.37942518595315,4.838433174535581,False
distilgpt2,full,68,64,generalized_gamma,0.10062777337845624,-115.4987235831253,0.0,True
distilgpt2,full,68,64,lognormal,0.1869643854809077,-133.65514922881493,18.156425645689637,False
distilgpt2,full,69,64,generalized_gamma,0.06000152144030868,-99.28366099759843,0.0,True
distilgpt2,full,69,64,lognormal,0.07974917348344213,-100.41174975954297,1.1280887619445394,False
distilgpt2,full,70,64,generalized_gamma,0.08146796965198078,-96.2925044848907,0.0,True
distilgpt2,full,70,64,lognormal,0.10222883156046847,-96.72537347266187,0.43286898777117244,False
distilgpt2,full,71,64,generalized_gamma,0.08290756876918409,-96.25015379291126,0.0,True
distilgpt2,full,71,64,lognormal,0.15541025960299182,-104.77698148188695,8.526827688975686,False
distilgpt2,S_positive,0,64,generalized_gamma,0.050925245842993544,-218.68285352133742,0.0,True
distilgpt2,S_positive,0,64,lognormal,0.06730921163225034,-219.01720322589713,0.33434970455971325,False
distilgpt2,S_positive,1,64,generalized_gamma,0.045831770606803046,-245.70192422311928,0.0,True
distilgpt2,S_positive,1,64,lognormal,0.1487031839418938,-262.7438800718286,17.041955848709307,False
distilgpt2,S_positive,2,64,generalized_gamma,0.04746126024407388,-211.0184707043796,0.0,True
distilgpt2,S_positive,2,64,lognormal,0.12351328230980885,-218.65652291831165,7.638052213932042,False
distilgpt2,S_positive,3,64,generalized_gamma,0.04219594718414843,-273.6075490290739,0.846439290529986,False
distilgpt2,S_positive,3,64,lognormal,0.04224072648808974,-272.7611097385439,0.0,True
distilgpt2,S_positive,4,64,generalized_gamma,0.10268874798153949,-236.44863340739283,1.3257466534205093,False
distilgpt2,S_positive,4,64,lognormal,0.09989102761394153,-235.12288675397232,0.0,True
distilgpt2,S_positive,5,64,generalized_gamma,0.11520408531687587,-263.3534045396997,0.0,True
distilgpt2,S_positive,5,64,lognormal,0.25306109847774627,-303.1738677544855,39.82046321478583,False
distilgpt2,S_positive,6,64,generalized_gamma,0.044847850511620546,-196.69164920849394,1.5558950570024592,False
distilgpt2,S_positive,6,64,lognormal,0.041105848270802436,-195.13575415149148,0.0,True
distilgpt2,S_positive,7,64,generalized_gamma,0.16322134813090539,-232.01069813742419,3.269270123735822,False
distilgpt2,S_positive,7,64,lognormal,0.14914903483752273,-228.74142801368836,0.0,True
distilgpt2,S_positive,8,64,generalized_gamma,0.058581311758853616,-208.65566470376416,0.0,True
distilgpt2,S_positive,8,64,lognormal,0.06786450883969697,-208.7364303089177,0.08076560515354458,False
