model,layer,head,mu,nu,tau,k_plus,k_minus,k_T,mode_ratio,shape_ratio,sigma_lambda_correlation,geometric_mean_error
distilgpt2,3,5,-4.802722980864114,3.8311372810210393,4.270203499354263,4.261134842297556,4.754217213111055,4.3737236846719005,0.9954992707698794,0.9717380166261749,0.9941451718827298,0.04096789361567085
distilgpt2,3,6,-3.4972723362139924,2.582107208034518,3.3549285859186506,2.8606645051259387,3.213909214842617,5.097898724413373,1.1164297961517295,1.6812834478363445,0.9911056972699602,0.1905148412549045
distilgpt2,3,7,-4.762262696417717,7.4058192861660945,6.099270080793417,3.5035499653699445,3.9753470504466217,4.2506012865003715,1.0270335605956153,1.138960564181585,0.9955317965191395,0.04746683733502512
distilgpt2,3,8,-4.518490466320654,4.316804078835902,4.363746239031284,4.151497054887867,3.335797397049874,3.5022295818232356,0.9880561670586009,0.9411143860899748,0.9954452339374018,0.03952680353273432
distilgpt2,3,9,-4.004726751330158,3.103076227612134,3.4716432322799022,4.202919344909486,3.7065161619154323,3.6641562671078423,0.9848099355243162,0.9283580549652398,0.996455824515879,0.03392835674496458
distilgpt2,3,10,-5.910461929922681,9.719370455532651,7.804727063149782,4.842991680656011,4.436963622399304,5.7211723320381305,1.0297408463603075,1.2341991249518263,0.9566917028572689,0.08869545962133413
distilgpt2,3,11,-4.306877008760662,7.8507390492828995,6.071020767031195,6.267011838919807,3.762206049071468,6.5127173820398285,1.0440594112651476,1.3412529377828606,0.9943646735431186,0.07704771594509068
distilgpt2,4,0,-3.746528404208144,5.3023707001980265,4.507797210618278,6.417639662750641,4.2953840413421425,5.568338454294783,1.0113810503527225,1.0605641939423225,0.9900615082534796,0.07681344127932505
distilgpt2,4,1,-3.55701277412079,5.447125460363627,4.42671527574891,8.462840536850734,4.924729874881177,6.5034346949218325,1.0056692885785161,1.0073804020936608,0.9920867846868512,0.047067925514177995
distilgpt2,4,2,-3.9658850076178314,4.3033856563067046,4.117315975594689,5.714392444246612,5.016147477874691,5.205438826760536,0.9966415859878143,0.9722706310207435,0.9934464996983151,0.048101931743802694
distilgpt2,4,3,-3.197222830509108,2.4493583735692304,2.689889664957693,3.8181475746410127,3.378076061096352,3.0858103876360614,0.9612178942746094,0.8592275023154128,0.9931324497608103,0.03858109466887644
distilgpt2,4,4,-4.337194396325565,5.511630655351508,5.087511234797279,5.452494982548678,4.0462125309804104,6.267006827379963,1.0405450409700254,1.3342529913529746,0.9845009173338609,0.09110417331665387
distilgpt2,4,5,-2.422354370722579,4.101328465417864,3.180676245095368,5.161624515451132,3.579735348649286,4.414427671392878,1.009109629835373,1.0269652328708645,0.9899467231537085,0.047290421895748246
distilgpt2,4,6,-3.65987851037309,5.487973826977167,4.522119245770357,7.99951081721945,6.030965478714986,7.592174278676045,1.0090267036904266,1.093052526685978,0.9868275808152043,0.06000490789866309
distilgpt2,4,7,-3.584180735721864,3.016427576618804,3.244767337091133,4.680197925283419,4.65431226443578,4.311669155442131,0.9868295818308563,0.9238161717370083,0.9958697016534463,0.03589838858421528
distilgpt2,4,8,-3.4678845531283313,4.167967574268377,3.7864268485014474,5.89117131484128,3.612967240206786,4.320199929274933,0.9959443896881469,0.9364207045643227,0.9955441514966945,0.039388866900517495
distilgpt2,4,9,-4.195769879779124,6.101543099568417,5.066582907775271,8.395845652584468,5.324293210879629,6.557343979038432,1.0013582529780067,0.9807645527009248,0.9851849142505773,0.03952864334135098
distilgpt2,4,10,-2.9749800457996534,2.8086136174656957,2.7781875974870753,4.15866623635403,3.2055396289318736,3.0996418375049153,0.9611109849966104,0.8489535052072379,0.996948925046292,0.041690913407562924
distilgpt2,4,11,-3.2286612523057583,5.064444130128342,4.173994003508626,3.78515701508601,3.814063413760312,4.492688220638119,1.0322257474247523,1.1824162139424017,0.9839682480315489,0.07382679640260541
distilgpt2,5,0,-2.5593766293342757,2.9944423002774307,2.793805609526692,5.622289746698515,3.7676877862280778,4.734394572575486,1.0091857522666192,1.0286565234729261,0.9977276381019841,0.03314189810325109
distilgpt2,5,1,-2.7152315656097605,3.5303946589609954,3.185565680270301,6.667946180106447,4.97988056744193,7.5381075292352815,1.028896045892377,1.308147819895175,0.9929719008544169,0.08588938865902233
distilgpt2,5,2,-2.799007512258998,3.3570392669618827,3.0908725642336616,7.615990230383276,5.849618804821478,7.212244574923743,1.008325747444305,1.0805465315328875,0.9941078432642902,0.05845893383427678
