model,layer,head,kv_head,dim,symmetric_energy,balance,pairing,rho,pairing_bound,pairing_gap,lobe_departure,n_pos,n_neg,n_zero,a,b,c,d,b_sym,c_sym,d_sym,trace_ratio
distilgpt2,3,0,0,128,0.5339758308872106,1.0,0.9055839547559382,0.9111462838792314,0.9343208085751227,0.02873685381918445,0.09613080053662972,64,64,0,0.4660241691127896,0.52921576229395,0.0043309469668349285,0.00042912162642573043,0.9910856104004714,0.008110754675242474,0.0008036349242862491,0.22023616192879375
distilgpt2,3,1,1,128,0.5358231211509049,1.0,0.8183975472380206,0.8125516138479532,0.8545223581054786,0.036124810867458,0.15537810579306516,64,64,0,0.46417687884909525,0.5181519688630613,0.016199153287222972,0.0014719990006205324,0.9670205491508328,0.030232277495656584,0.0027471733535103845,0.8360425746035708
distilgpt2,3,2,2,128,0.625090093460413,1.0,0.4516483027585838,0.43381857841327226,0.4805890465833108,0.028940743824727,0.29092607283555544,64,64,0,0.37490990653958695,0.43713201337807867,0.1879580800823344,0.0,0.6993104161324584,0.3006895838675418,0.0,3.266274572550966
distilgpt2,3,3,3,128,0.5068922210700413,1.0,0.9406310559279598,0.9422913118018199,0.9579999097694007,0.017368853841440934,0.05939318569948114,64,64,0,0.49310777892995866,0.5051055924946102,0.001716533408980191,7.009516645102477e-05,0.996475328479771,0.003386387357368824,0.00013828416286021316,0.2967360874967784
distilgpt2,3,4,4,128,0.524919598487836,1.0,0.7281279823176534,1.474982062106448,0.7334576509109498,0.005329668593296422,0.07860063247307046,64,64,0,0.475080401512164,0.48612048446758244,0.00011666362433348631,0.03868245039592018,0.9260856060013302,0.00022225046401308973,0.0736921435346571,1.4210944702615782
distilgpt2,3,5,5,128,0.5057040216700485,1.0,0.868939775324735,1.189957854950217,0.877789416101654,0.008849640776918966,0.06745871080537187,64,64,0,0.49429597832995137,0.49701765368452755,1.9793146133221316e-05,0.008666574839387927,0.9828232175080694,3.913978391521582e-05,0.017137642708015714,0.7081976293268121
distilgpt2,3,6,6,128,0.5700822817603692,1.0,0.8267725087827728,1.2164045275468214,0.8625730119864277,0.03580050320365491,0.1505700782309049,64,64,0,0.4299177182396309,0.5529753873521,0.00048421619038387337,0.016622678217885493,0.9699922362865857,0.000849379477096976,0.029158384236317555,0.9096706281170253
distilgpt2,3,7,7,128,0.5436038544294552,1.0,0.6638429472166718,0.6128888066605533,0.6699463914031268,0.0061034441864550315,0.09553305736543766,64,64,0,0.4563961455705448,0.48217576860858297,0.06142808582087235,0.0,0.8869984358640269,0.11300156413597325,0.0,1.7398201533865698
distilgpt2,3,8,8,128,0.501658328943755,1.0,0.9097725046902173,1.1312371669903176,0.9130802972231544,0.003307792532937115,0.03436355262790293,64,64,0,0.498341671056245,0.49757432803137647,8.373569725211791e-05,0.004000265215126292,0.991858999090123,0.00016691778531500512,0.007974083124561847,0.4554691803607148
distilgpt2,3,9,9,128,0.5083312314119759,1.0,0.7942131551774475,1.3049683797134908,0.8145032046553171,0.02029004947786961,0.12823477233081368,64,64,0,0.4916687685880243,0.48680430579442135,0.00013883944199943567,0.021388086175555078,0.9576517744979788,0.00027312790051043224,0.04207509760151084,1.0715126266952855
distilgpt2,3,10,10,128,0.5484876272911072,1.0,0.6675088640511935,0.6349668425803026,0.691840774044113,0.024331909992919565,0.1856009758117674,64,64,0,0.45151237270889294,0.4878521251152101,0.060333889007078756,0.00030161316881832466,0.8894496445154721,0.11000045580801558,0.0005498996765122013,1.7370020179590497
distilgpt2,3,11,11,128,0.5466555447722456,1.0,0.702363643437208,0.6547882157271233,0.711192907460258,0.008829264023049954,0.10629250745756658,64,64,0,0.45334445522775424,0.49822875095640495,0.04842679381584068,0.0,0.9114125992520266,0.08858740074797347,0.0,1.7164667034435652
distilgpt2,4,0,0,128,0.5204719668826888,1.0,0.8283044955923378,0.805239465859863,0.8483060507619253,0.02000155516958757,0.11507075998898553,64,64,0,0.4795280331173111,0.5051287935659665,0.015094591057091206,0.00024858225963129895,0.9705206537661987,0.02900173691870216,0.0004776093150994391,0.9358860070629397
distilgpt2,4,1,1,128,0.517903385555129,1.0,0.7825851515342459,0.7514972325381637,0.8013406480077561,0.018755496473510158,0.12747006238704647,64,64,0,0.48209661444487106,0.49342249838353036,0.024407510139095968,7.337703250287119e-05,0.9527307836666136,0.047127535404956095,0.00014168092843073421,1.216238666189927
distilgpt2,4,2,2,128,0.5041262982273406,1.0,0.9448512455619547,0.9462930750863995,0.9609903761810751,0.016139130619120423,0.055171557794377844,64,64,0,0.4958737017726595,0.5025930560072935,0.001533242220047007,0.0,0.9969586148839322,0.003041385116067833,0.0,0.1903473685573418
distilgpt2,4,3,3,128,0.5016583900524579,1.0,0.7903214877229441,1.3112083362016167,0.8112768088223099,0.02095532109936582,0.13158241490401223,64,64,0,0.498341609947542,0.4796029395482407,0.00029749431830682006,0.021757956185910636,0.956034921489281,0.000593021713990892,0.043372056796728606,1.1099220963974519
distilgpt2,4,4,4,128,0.5300696949502735,1.0,0.8575147906665932,0.8973000232946345,0.9235611722458684,0.06604638157927523,0.1705527498983592,64,64,0,0.4699303050497265,0.5193082015152062,0.00825335275604755,0.002508140679019709,0.9796979651212152,0.015570316195536903,0.004731718683247872,0.5967398767485521
distilgpt2,4,5,5,128,0.5249089224016512,1.0,0.7175618444932529,0.7030746600800606,0.7571006610263484,0.039538816533095544,0.21011218487185324,64,64,0,0.47509107759834884,0.4830362491459585,0.04131363874648354,0.0005590345092090228,0.9202286883139463,0.07870629928990056,0.001065012396152907,1.5234959568125281
distilgpt2,4,6,6,128,0.5232237103683709,1.0,0.7519395882240743,0.7242526020995225,0.7766727335235263,0.02473314529945203,0.15665830673863196,64,64,0,0.47677628963162927,0.4910276793750457,0.031637927461036455,0.0005581035322886985,0.9384660321095581,0.060467304585187974,0.0010666633052538288,1.344074086573791
distilgpt2,4,7,7,128,0.5019556643486394,1.0,0.8781527473376955,1.1694494138498495,0.8898752815904318,0.011722534252736283,0.07419814559295593,64,64,0,0.49804433565136064,0.4945032525924648,7.174485096825697e-05,0.007380666905206164,0.9851532470186483,0.00014293065317104523,0.014703822328180427,0.638138182424813
distilgpt2,4,8,8,128,0.5026628143838328,1.0,0.9407406345198933,0.982497060769162,0.9875147712011452,0.046774136681251854,0.08193063705868076,64,64,0,0.49733718561616735,0.50089762725351,0.0012781020628031992,0.000487085067519552,0.9964883276028951,0.002542662847200871,0.0009690095499039927,0.16719733339782708
distilgpt2,4,9,9,128,0.5128491795462984,1.0,0.7830343063007118,0.7820470842268634,0.8283142018723619,0.04527989557165013,0.19043410925942994,64,64,0,0.4871508204537015,0.48870725970490636,0.0221053833720928,0.0020365364692992434,0.9529258877575866,0.043103088107986715,0.0039710241344266236,1.0949231088614506
distilgpt2,4,10,10,128,0.4946319164597866,1.0,0.8821715850833444,1.1387088476843856,0.9084715695917776,0.026299984508433183,0.10538119779436621,64,64,0,0.5053680835402133,0.48776467675655655,0.00030893755246367736,0.006558302150766605,0.9861164646382289,0.000624580707761089,0.013258954654010469,0.5572937857218879
distilgpt2,4,11,11,128,0.547191498209012,1.0,0.685512397557593,0.6306219434772359,0.6875600284420673,0.0020476308844743496,0.05334018094209131,64,64,0,0.4528085017909879,0.49307291727335456,0.054118580935657606,0.0,0.9010975479100268,0.09890245208997346,0.0,1.63378369373361
